"title","url","author"
"What Do Your Ideas Want From You?","https://bewrong.substack.com/p/what-do-ideas-want","Judah"
"Are you serious?","https://visakanv.substack.com/p/are-you-serious","Visa"
"Why You Should Start a Blog Right Now","https://guzey.com/personal/why-have-a-blog/","Alexey Guzey"
"On Being a Loser, or Should you Start a Blog?","https://applieddivinitystudies.com/loser/","Applied Divinity Studies"
"Your Life is More Financialized Than You Think","https://byrnehobart.medium.com/your-life-is-more-financialized-than-you-think-33fe930917f","Byrne Hobart"
"The Trouble with Optionality","https://www.thecrimson.com/article/2017/5/25/desai-commencement-ed/","Mihir A. Desai"
"Optionality is for Innumerate Cowards","https://byrnehobart.medium.com/optionality-is-for-innumerate-cowards-f2c5a759b607","Byrne Hobart"
"Asymmetric Opportunities and the Cult of Optionality","https://applieddivinitystudies.com/asymmetric/","Applied Divinity Studies"
"Why aren't there more Billionaires","https://applieddivinitystudies.com/billionaire/","Applied Divinity Studies"
"Finance","https://applieddivinitystudies.com/finance/","Applied Divinity Studies"
"The 30-Year Mortgage is an Intrinsically Toxic Product","https://byrnehobart.medium.com/the-30-year-mortgage-is-an-intrinsically-toxic-product-200c901746a","Byrne Hobart"
"Is Time Working for or Against You?","https://applieddivinitystudies.com/time/","Applied Divinity Studies"
"Staying Classy","https://slatestarcodex.com/2016/01/30/staying-classy/","Scott Alexander"
"Book Review: Fussell On Class","https://astralcodexten.substack.com/p/book-review-fussell-on-class","Scott Alexander"
"The 3-ladder system of social class in the U.S.","https://web.archive.org/web/20120912080138/https://michaelochurch.wordpress.com/2012/09/09/the-3-ladder-system-of-social-class-in-the-u-s/","Michael O.Church"
"The Phrase \"No Evidence\" Is A Red Flag For Bad Science Communication","https://astralcodexten.substack.com/p/the-phrase-no-evidence-is-a-red-flag","Scott Alexander"
"Book Review: How Asia Works","https://astralcodexten.substack.com/p/book-review","Scott Alexander"
"The Magic of Small Databases â€” Tom Critchlow","https://tomcritchlow.com/2023/01/27/small-databases/","Tom Critchlow"
"How Levels.fyi scaled to millions of users with Google Sheets as a backend","https://www.levels.fyi/blog/scaling-to-millions-with-google-sheets.html","Dushyant Sabharwal"
"My Simplistic Theory of Left and Right","https://www.econlib.org/archives/2015/10/my_simplistic_t.html","Bryan Caplan"
"Don't End The Week With Nothing","https://training.kalzumeus.com/newsletters/archive/do-not-end-the-week-with-nothing","Patrick McKenzie"
